time,open,high,low,close,PVI High,PVI Low,10:30 High,10:30 Low,Buy Above,Major Resistance1,BuyTGT1,Sell Below,Major Support1,Sell TGT1,Major Resistance2,Buy TGT2,Major Support2,Sell TGT2,Major Resistance3,Buy TGT3,Major Support3,Sell TGT3,Major Resistance4,Buy TGT4,Major Support4,Sell TGT4,Major Resistance5,Buy TGT5,Major Support5,Sell TGT5,Conservative L,Conservative H,VWAP,20w SMA,21w EMA,VWAP Weekly,EMA,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,PW High,PW Low,PW Mid,PS Open,PS High,PS Low,PS Close,PS Mid,OMAR High,OMAR Low,OMAR Mid,RTH High,RTH Low,RTH Mid,ON High,ON Low,ON Mid,ON A U,ON A L,ON B U,ON B L,IB High,IB Low,IB Mid,IB A U,IB A L,IB B U,IB B L,IB C U,IB C L,IB D U,IB D L,Volume,Midday High,Midday Low,Midday High,Midday Low,Morning High,Morning Low,Morning High,Morning Low,Afternoon High,Afternoon Low,Afternoon High,Afternoon Low,Buy Above,R1,TGT1,Sell Below,S1,TGT1,R2,TGT2,S2,TGT2,R3,TGT3,S3,TGT3,R4,TGT4,S4,TGT4,R5,TGT5,S5,TGT5,EMA High,EMA Low,EMA HL2,3 EMA Open
1779873000,7540.13,7542.38,7539.88,7541.88,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7524.970188011987,7541.466682300099,7535.118780764632,7522.0766530231185,7541.639844635389,7515.555589152362,7548.1609085061455,7509.034525281605,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7540.752842043781,7538.458073472428,7539.605457758104,7540.900935078302
1779873300,7541.63,7542.63,7541.13,7541.38,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7524.976794431338,7541.42334115005,7535.295033745348,7522.102410038426,7541.891345598809,7515.506098184965,7548.48765745227,7508.909786331504,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7541.021007466098,7538.839777262081,7539.930392364089,7541.265467539151
1779873600,7541.63,7542.88,7541.13,7541.63,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7524.982862082804,7541.5266705750255,7535.454493854759,7522.126429144329,7542.118526209973,7515.462396789115,7548.782558565188,7508.7983644339,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7541.286577828084,7539.166951938927,7540.226764883505,7541.447733769575
1779873900,7541.38,7542.38,7540.63,7541.13,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7524.988766001892,7541.328335287513,7535.6003389122725,7522.155204083914,7542.322906326452,7515.432636669735,7549.045473740631,7508.710069255556,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7541.4427809955005,7539.375958804794,7540.409369900147,7541.413866884788
1779874200,7541.38,7541.63,7539.88,7541.13,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7524.995572858902,7541.229167643756,7535.757806667981,7522.194243718751,7542.539588142596,7515.412462244136,7549.321369617211,7508.630680769521,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7541.469526567572,7539.4479646898235,7540.458745628697,7541.396933442395
1779874500,7541.13,7544.63,7541.13,7543.88,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7525.011410782308,7542.554583821879,7536.173226173947,7522.2445970412555,7543.137540740293,7515.28028247491,7550.101855306639,7508.315967908564,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7541.921022772204,7539.68825544842,7540.804639110312,7541.263466721197
1779874800,7544.13,7544.13,7541.63,7542.13,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7525.018883265756,7542.34229191094,7536.353168883658,7522.277250489556,7543.39112808071,7515.239291292504,7550.429087277761,7508.201332095453,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7542.236590947604,7539.965647527217,7541.10111923741,7542.696733360599
1779875100,7542.38,7542.63,7541.13,7542.13,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7525.024113882966,7542.23614595547,7536.470155217882,7522.3052956674155,7543.5525849931155,7515.222865892182,7550.635014768349,7508.140436116949,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7542.2927922408035,7540.131983594757,7541.21238791778,7542.538366680299
1779875400,7542.13,7544.38,7542.13,7543.88,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7525.033445904195,7543.058072977736,7536.6967588659645,7522.340972389971,7543.874652103961,7515.163079151975,7551.052545341958,7507.985185913978,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7542.590964777832,7540.417414509791,7541.5041896438115,7542.33418334015
1779875700,7543.88,7545.13,7543.63,7544.13,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7525.042368605925,7543.594036488868,7536.918345152853,7522.369394535055,7544.1928204617525,7515.094919226156,7551.467295770652,7507.820443917257,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7542.953684095284,7540.876355294107,7541.915019694696,7543.1070916700755
1779876000,7544.38,7547.63,7543.88,7547.38,,,,,7480.42,7508.2,7548.75,7454.04,7429.06,7396.91,7589.89,7630.44,7358.91,7326.76,7671.58,7712.13,7288.76,7256.61,7753.27,7793.82,7218.61,7186.46,7834.96,7875.51,7148.46,7116.31,7187.271880845168,7760.109278705518,,,,7525.064535499329,7545.487018244434,7537.506539125958,7522.404323159562,7545.057647109155,7514.853215176365,7552.608755092353,7507.302107193167,7506.88,7333.78,7420.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713,,,,,,,,,,,,,7521.282987220897,7531.32193773712,7546.547002432461,7512.083375174283,7503.695323819501,7493.435854258181,7561.288940169581,7576.514004864923,7480.551178077682,7470.291708516363,7591.2559426020425,7606.481007297384,7457.407032335864,7447.147562774544,7621.222945034504,7636.448009729846,7434.262886594045,7424.003417032725,7651.189947466965,7666.415012162307,7411.118740852226,7400.859271290907,7543.621729224529,7541.305447394949,7542.463588309739,7543.743545835037
